state,year,n_facilities,n_hospitals,n_inpatient_psych_facilities,total_inpatient_psych_beds,total_inpatient_clients
AK,2021,73,16,4,107.0,85.0
AK,2023,81,12,5,150.0,100.0
AL,2021,124,27,27,873.0,1021.0
AL,2023,130,13,27,1170.0,1291.0
AR,2021,154,15,19,738.0,604.0
AR,2023,153,4,20,1205.0,937.0
AZ,2021,357,38,33,1915.0,1824.0
AZ,2023,372,23,26,1659.0,1383.0
CA,2021,828,88,83,6139.0,25188.0
CA,2023,822,34,73,5452.0,5546.0
CO,2021,153,19,10,842.0,1005.0
CO,2023,159,14,6,1004.0,988.0
CT,2021,186,52,15,710.0,739.0
CT,2023,185,19,17,839.0,799.0
DC,2021,24,6,2,53.0,49.0
DC,2023,16,1,1,28.0,24.0
DE,2021,30,5,3,254.0,2239.0
DE,2023,35,2,1,30.0,19.0
FL,2021,375,70,51,3692.0,11651.0
FL,2023,385,37,53,3757.0,3405.0
GA,2021,186,31,27,1413.0,1430.0
GA,2023,181,18,18,1137.0,780.0
HI,2021,18,3,5,241.0,261.0
HI,2023,20,1,6,173.0,137.0
IA,2021,134,29,19,400.0,522.0
IA,2023,125,15,13,304.0,308.0
ID,2021,104,11,6,431.0,312.0
ID,2023,78,5,6,286.0,244.0
IL,2021,326,71,31,2443.0,5669.0
IL,2023,331,37,40,2961.0,2471.0
IN,2021,282,92,50,1880.0,1623.0
IN,2023,300,70,42,1574.0,1774.0
KS,2021,95,7,9,729.0,505.0
KS,2023,96,7,9,934.0,650.0
KY,2021,199,24,22,1160.0,3730.0
KY,2023,210,11,24,1278.0,944.0
LA,2021,105,32,31,1488.0,1403.0
LA,2023,132,12,24,1564.0,1727.0
MA,2021,233,65,34,1301.0,3841.0
MA,2023,218,32,21,765.0,750.0
MD,2021,242,42,18,729.0,684.0
MD,2023,245,28,17,660.0,1638.0
ME,2021,144,13,13,431.0,291.0
ME,2023,133,4,8,385.0,306.0
MI,2021,330,59,40,1712.0,1290.0
MI,2023,308,19,26,1776.0,2291.0
MN,2021,235,53,17,559.0,436.0
MN,2023,237,34,16,383.0,317.0
MO,2021,204,53,40,2157.0,2172.0
MO,2023,199,14,23,1317.0,2296.0
MS,2021,143,20,28,1234.0,941.0
MS,2023,138,8,17,824.0,722.0
MT,2021,79,8,6,442.0,315.0
MT,2023,83,1,7,618.0,481.0
NC,2021,268,50,34,2053.0,3451.0
NC,2023,248,28,32,1711.0,1371.0
ND,2021,27,6,4,131.0,110.0
ND,2023,26,5,1,103.0,103.0
NE,2021,115,13,13,572.0,428.0
NE,2023,129,7,10,451.0,1753.0
NH,2021,57,11,4,329.0,259.0
NH,2023,60,5,4,93.0,71.0
NJ,2021,286,58,21,1451.0,1222.0
NJ,2023,261,28,20,1819.0,1460.0
NM,2021,53,10,5,199.0,1706.0
NM,2023,82,8,8,501.0,362.0
NV,2021,53,11,13,681.0,762.0
NV,2023,85,6,12,1004.0,423.0
NY,2021,669,263,72,3032.0,3885.0
NY,2023,576,174,68,3368.0,3996.0
OH,2021,568,93,51,2196.0,3255.0
OH,2023,576,61,41,2077.0,8457.0
OK,2021,127,21,18,426.0,368.0
OK,2023,125,13,21,730.0,558.0
OR,2021,129,13,8,815.0,745.0
OR,2023,147,8,4,124.0,106.0
PA,2021,451,62,57,3327.0,4594.0
PA,2023,431,28,56,3534.0,2965.0
PR,2021,43,24,8,552.0,367.0
PR,2023,47,13,5,192.0,151.0
RI,2021,36,7,4,129.0,113.0
RI,2023,41,7,4,245.0,236.0
SC,2021,92,19,18,1012.0,3769.0
SC,2023,90,6,12,636.0,330.0
SD,2021,36,11,5,196.0,168.0
SD,2023,32,6,3,68.0,33.0
TN,2021,244,33,31,1518.0,987.0
TN,2023,236,14,25,1276.0,986.0
TX,2021,310,57,43,3276.0,2590.0
TX,2023,318,21,45,3964.0,3389.0
UT,2021,231,10,11,890.0,663.0
UT,2023,275,4,15,920.0,727.0
VA,2021,218,42,25,1709.0,3580.0
VA,2023,222,20,20,1149.0,1761.0
VT,2021,56,11,5,169.0,113.0
VT,2023,55,5,3,131.0,126.0
WA,2021,262,22,20,884.0,777.0
WA,2023,285,11,27,1140.0,2648.0
WI,2021,305,60,32,1147.0,1423.0
WI,2023,288,33,21,922.0,2228.0
WV,2021,101,14,13,499.0,379.0
WV,2023,114,13,11,494.0,471.0
WY,2021,34,9,4,189.0,186.0
WY,2023,43,5,5,199.0,214.0
ZZ,2021,6,4,2,58.0,42.0
ZZ,2023,3,0,1,20.0,61.0
